datetime,room,occupied,hour,weekday,is_weekend,occupied_previous,occupied_1hr_ago,occupied_yesterday,occupied_last_week
2026-05-22 09:15:00,1416,0,9,4,0,0.0,0.0,0.0,0.0
2026-05-22 09:30:00,1416,0,9,4,0,0.0,0.0,0.0,0.0
2026-05-22 09:45:00,1416,0,9,4,0,0.0,0.0,0.0,0.0
2026-05-22 10:00:00,1416,0,10,4,0,0.0,0.0,0.0,0.0
2026-05-22 10:15:00,1416,0,10,4,0,0.0,0.0,0.0,0.0
2026-05-22 10:30:00,1416,0,10,4,0,0.0,0.0,0.0,0.0
2026-05-22 10:45:00,1416,0,10,4,0,0.0,0.0,0.0,0.0
2026-05-22 11:00:00,1416,0,11,4,0,0.0,0.0,0.0,0.0
2026-05-22 11:15:00,1416,0,11,4,0,0.0,0.0,0.0,0.0
2026-05-22 11:30:00,1416,0,11,4,0,0.0,0.0,0.0,0.0
2026-05-22 11:45:00,1416,0,11,4,0,0.0,0.0,0.0,0.0
2026-05-22 12:00:00,1416,0,12,4,0,0.0,0.0,0.0,0.0
2026-05-22 12:15:00,1416,0,12,4,0,0.0,0.0,0.0,0.0
2026-05-22 12:30:00,1416,0,12,4,0,0.0,0.0,0.0,0.0
2026-05-22 12:45:00,1416,0,12,4,0,0.0,0.0,0.0,0.0
2026-05-22 13:00:00,1416,0,13,4,0,0.0,0.0,0.0,0.0
2026-05-22 13:15:00,1416,0,13,4,0,0.0,0.0,0.0,0.0
2026-05-22 13:30:00,1416,0,13,4,0,0.0,0.0,0.0,0.0
2026-05-22 13:45:00,1416,0,13,4,0,0.0,0.0,0.0,0.0
2026-05-22 14:00:00,1416,0,14,4,0,0.0,0.0,0.0,0.0
2026-05-22 14:15:00,1416,0,14,4,0,0.0,0.0,0.0,0.0
2026-05-22 14:30:00,1416,0,14,4,0,0.0,0.0,0.0,0.0
2026-05-22 14:45:00,1416,0,14,4,0,0.0,0.0,0.0,0.0
2026-05-22 15:00:00,1416,0,15,4,0,0.0,0.0,0.0,0.0
2026-05-22 15:15:00,1416,0,15,4,0,0.0,0.0,0.0,0.0
2026-05-22 15:30:00,1416,0,15,4,0,0.0,0.0,0.0,0.0
2026-05-22 15:45:00,1416,0,15,4,0,0.0,0.0,0.0,0.0
2026-05-22 16:00:00,1416,0,16,4,0,0.0,0.0,0.0,0.0
2026-05-22 16:15:00,1416,0,16,4,0,0.0,0.0,0.0,0.0
2026-05-22 16:30:00,1416,0,16,4,0,0.0,0.0,0.0,0.0
2026-05-22 16:45:00,1416,0,16,4,0,0.0,0.0,0.0,0.0
2026-05-22 17:00:00,1416,0,17,4,0,0.0,0.0,0.0,0.0
2026-05-22 17:15:00,1416,0,17,4,0,0.0,0.0,0.0,0.0
2026-05-22 17:30:00,1416,0,17,4,0,0.0,0.0,0.0,0.0
2026-05-22 17:45:00,1416,0,17,4,0,0.0,0.0,0.0,0.0
2026-05-22 18:00:00,1416,0,18,4,0,0.0,0.0,0.0,0.0
2026-05-22 18:15:00,1416,0,18,4,0,0.0,0.0,0.0,0.0
2026-05-22 18:30:00,1416,0,18,4,0,0.0,0.0,0.0,0.0
2026-05-22 18:45:00,1416,0,18,4,0,0.0,0.0,0.0,0.0
